dest_country,shipper,value_norm_usd
Vietnam,Guangxi Pingxiang City Feng Song Import & Export Trading Co. Ltd.,769070.0
Brazil,Fca Shanghai Auto Parts Trading Co,759728.39
Indonesia,Desmet Singapore Pte,758421.39
United States,Mexicali Directo Al Cliente S De Rl De Cv,757600.0
Vietnam,"Xinxiang Chengde Energy Technology Equipment Co., Ltd.",745120.0
Indonesia,Shanghai King Sun Cooling Equipment Co Ltd,743685.77
Brazil,Stellantis Europe S P A,738875.97
Brazil,Fca Shangai Auto Parts Trading Co,729380.4099999999
Indonesia,Seagull Cooling Technologies (Asia Pacific) Sdn. Bhd.,725000.0
Indonesia,Ebara (Thailand) Ltd.,720174.57
Vietnam,Fujian Unite Material Technology Co Ltd,720000.0
Vietnam,Shenzhen Pengyu Electromechanical Environmental Protection Equipment,717974.0
Malaysia,Evapco Shanghai Refrigeration,700416.31
Saudi Arabia,Cryolor Asia Pacific Pvt. Ltd.,699925.65
Indonesia,Zte Corporation,694920.6599999999
Malaysia,Hangzhou Hangyang Cryogenic Vessel Co Ltd,694096.59
Malaysia,Spx Cooling Technologies Inc,687614.32
Vietnam,Foshan Shunlong Electromechanical Equipment Co Ltd,686969.4
Vietnam,Tti Partners Spc,683708.4195
Malaysia,Tokyo Electron Ltd,679000.71
Canada,Inox India Pvt. Ltd.,676852.27
Vietnam,Samsung E&A Co. Ltd,668990.0
Brazil,Dana Global Products,665722.14
Vietnam,Weifang Golden Sail Gas Co Ltd,650000.0
United States,Yazaki Componentes De Mexico S De Rl De Cv,647654.32
Philippines,Hangzhou Xiangertai Import And Export Co Ltd,647081.0
United Arab Emirates,Hamilton Sundstrand Csc M Sdn Bhd,645837.52
Philippines,Hangzhou Xiangertai Importexport C,639443.6
Indonesia,Air Products And Chemicals Shanghai Co Ltd,634838.14
Vietnam,Seagull Cooling Technologies Thailand Co. Ltd.,633739.898
India,Thermo Fisher Scientific Asheville Llc,632416.88
Vietnam,"Shijiazhuang Enric Gas Equipment Co., Ltd",625500.0
Malaysia,Hawsin International Trade,613445.95
Brazil,Atlas Copco Airpower Nv,607849.48
United States,Messer Hai Phong Industrial Gases Co. Ltd.,601250.0
Brazil,Aisin Aw Co Ltd,589395.85
Malaysia,Tomoe Shanghai Specialty Gases Co Ltd,584172.3
Indonesia,Baltimore Aircoil Singapore Pte Ltd,581540.0
United Arab Emirates,Optech Engineering Pvt. Ltd.,579102.99
Brazil,Hi Tech Radiators Pvt Ltd,576067.75
Vietnam,Genius Premier Sdn Bhd No 11 2 Jalan Puteri 1,573400.0
Malaysia,Linde India Ltd.,571335.38
Brazil,Enviro Systems Inc,568619.89
Canada,Trinity Rail De Mexico S De Rl De Cv,566910.0
Vietnam,Appliancz International Inc.,565923.0
India,Technology Llc,556076.26
Brazil,Daimler Truck Ag,555907.69
Vietnam,Cryolor Asia Pacific Pvt. Ltd.,551436.72
Brazil,Ufi Filters Mexico S De Rlde Cv,550481.02
Malaysia,Thermatron Engineering Inc,550335.73
Vietnam,Thuy Thanh Chemical Gas Import Export And Trading Company Limited,550000.0
India,He24 Me Gaz A S,549890.0
Malaysia,Ecodyneuet De Mexico S De Rl De Cv,547421.46
Brazil,Shenyang Tiantong Electricity Co Ltd,545489.13
Brazil,Fpt Industrial S P A,545325.43
South Africa,Vrv Asia Pacific Pvt. Ltd.,544473.890478407
Malaysia,Jiangsu Seagull Cooling Tower Co Ltd,541698.83
Vietnam,King Sun Industry Viet Nam Co. Ltd.,527965.1963403288
Vietnam,Cong Ty Tnhh King Sun Industry Viet Nam,527965.1963403288
Ethiopia,Hamilton Sundstrand Csc M S B,525595.13
Brazil,Ttp Techonologies Private Ltd,519086.11
Vietnam,Andritz China Ltd,510420.0
Malaysia,Asia Propel Sdn Bhd,508605.01999999996
Malaysia,Taylor Wharton Beijing Cryogenic Equipment Co Ltd,506316.16
United States,Liang Chi Ii (Vietnam) Industry Co. Ltd,500216.99
United States,Taylorwharton Malaysia Sdn. Bhd.,494787.74
United States,Trinity Rail De Mexico S De Rl De Cv,493901.0
Vietnam,Hongfu International Trading Hong Kong Co Ltd,488969.4
Saudi Arabia,Spark Engineers,488058.95
India,China Triumph International En,487079.62
Malaysia,Jiangsu Tenpower Lithium Co Ltd,472814.61
Vietnam,Shen Zhen Zhizhi Evergreen Technology Co. Ltd,467997.6
Vietnam,"Hangzhou Heyi M&E Engineering Co., Ltd.",462260.0
Vietnam,Jony Air Conditioning Engineering Co Ltd,455000.0
Vietnam,Shanghai Liang Chi Cooling Equipment Co Ltd,454955.0
Vietnam,"Guangzhou Laxun Technology Exploit Co., Ltd.",453000.0
United Arab Emirates,Vrv Asia Pacific Pvt. Ltd.,451210.19
Indonesia,Nihon Spindle Cooling Towers Sdn Bhd,450694.0
Nigeria,Heritage Maritime Services Limited,449946.474
Vietnam,Zhongheng Viet Nam Manufacturing Co. Ltd.,447866.2132
Nigeria,Heritage Maritime Services Ltd,445122.31500000006
Vietnam,Fine Both Trading (Wuxi) Co Ltd,444946.58
Vietnam,International Transportation Service Corporation,440000.0
Philippines,Shanghai Qilong High Pressure Container Co Ltd,438220.1
Vietnam,Hyundai Engineering & Construction Co. Ltd.,437541.0
Malaysia,China Construction Installation Group Construction Development Co Ltd,436183.07
Malaysia,Hamilton Sundstrand Csc M S B,434311.16
Malaysia,Benchmark Electronics M Sdn Bhd,434177.13
Malaysia,Coolplus Systems Sdn. Bhd.,422000.58
Philippines,Hangzhou Yumang Zhangshan Steel,413219.30000000005
Vietnam,Topstar Worldwide Group Ltd,412925.29
Vietnam,Balchem N V,412864.44250999996
Uganda,Aguliar Salas Torres,412367.27
Brazil,Chery Automobile Hong Kong Trade Co Ltd,411969.70999999996
Vietnam,Nihon Spindle Cooling Towers Sdn Bhd,401586.0
Thailand,Tomoe Malaysia Sdn Bhd,400573.38
Vietnam,"Zhejiang Oict International Supply Chain Co., Ltd.",400000.0
Indonesia,Shanghai Liang Chi Cooling Equipment Co Ltd,396946.0
United States,Hamilton Sundstrand,396178.01
