dest_country,shipper,value_norm_usd
Vietnam,4K Metal Makine Imalat Insaat Nakliyat Muhendislik Ve Endustriyel Kont,43200.0
Brazil,Hibernia Marine Cv,43186.0
Vietnam,Jiangsu Meixinting International Trade Co Ltd,43112.0
Vietnam,Qingdao Baigong Industrial & Trading Co Ltd,43096.5
Indonesia,Boxu Hongkong International Trading Co Limited,43000.0
Vietnam,Shanghai Yuzhen Machinery Co Ltd,42956.0
Philippines,Hangzhou Tianlong Steel Cylinder Co,42812.0
Philippines,Shanghai Eternal Faith Industry,42600.0
Vietnam,Youcheng Environmental Technology Hong Kong Limited,42500.0
Vietnam,Vietnergy Company Ltd,42400.0
Brazil,John Deere Tianjin Co Ltd,42388.0
Vietnam,Pingxiang Hongyu Import And Export Trading Co Ltd,42320.0
Indonesia,Fuzhou Julitaihe International Trade Ltd Co,42073.05
Vietnam,Ta Shin F R P Co Ltd,41854.1
Vietnam,Huizhou Dashun Air Conditioning Engineering Co Ltd,41810.0
Vietnam,Kunshan Fulishun Environmental Protection Technology Co. Ltd,41390.0
Philippines,Chengdu Shichen Trading Co Limited,41280.0
Vietnam,Wenling Champion Trading Ltd,41217.01
Vietnam,Zamboo Industrial Ltd,41182.53954
Vietnam,Shen Mong Ultrasonic Co Ltd,41108.9418
Indonesia,Hangzhou Fuyang Industrial Co. Ltd,41101.5
Ethiopia,Hamilton Sundstrand Customer Suppor,41099.48
Uganda,Techno Africa Solutions Ltd,41090.39
Malaysia,Dalian Spindle Environmental Facilities Co Ltd,41071.16
Philippines,Henan Jianshen Metal Metenrial,41070.0
Indonesia,Nantong Adino Oil Chemical Co. Ltd.,40828.04
Vietnam,Dongguan Xinji Cooling Equipment Co Ltd,40638.96
Indonesia,Thai Agri Foods Public Co. Ltd.,40595.83
Vietnam,"Guangxi Wei Zhou International Trade Co., Ltd.",40500.0
Nigeria,Hubei Manten Automobile Co Ltd,40432.153000000006
Vietnam,Texhong (China) Investment Co. Ltd.,40377.0
Brazil,Liaocheng Detong Auto Parts Manufacturing Co Ltd,40357.0
Vietnam,K.M. Chemical Corporation Ltd.,40320.0
Vietnam,Guangxi Pingxiang Huadong Import Export Trade Co Ltd,40243.0
Philippines,Chengdu Cryostech Equipment Co Ltd,40114.3
Vietnam,Wuxi Weishi Industrial Complete Equipment Co. Ltd.,40002.8
Vietnam,Hi Tech Gas Equipments Harware,40000.0
Uganda,Carbacid Co2 Ltd,40000.0
Vietnam,International Transportation Serv,40000.0
Vietnam,Tien Anh Import Export Company Ltd.,40000.0
Uganda,Carbacid Co2 Limited,39982.946
Vietnam,Zhongheng Viet Nam Manufacturing Company Limited,39940.840000000004
Nigeria,Cheng Li Special Automobile Co Ltd,39873.908
Vietnam,Baihang Foreign Trade Co Ltd,39860.01287
Nigeria,Goa Reklam Dsi Tic Ltd,39790.494
Nigeria,Shandong Hongqiao Energy Equipment Technology,39775.197
Vietnam,Kaiying Trading (Yuhuan) Company Ltd.,39685.24
Malaysia,Turbopro Inc,39541.71
Vietnam,Ningbo Dsw International Co Ltd,39240.0
Thailand,Inox India Pvt. Ltd.,39209.42
India,Thermo Fisher Scientific Pte Ltd,39201.78
Malaysia,Suzhou Wipej Technology Co Ltd,39193.64
Oman,Lions Machinery Engineering Ltd,39000.0
Indonesia,Siemens Energy Global Gmbh And Co. Kg,38979.52
Vietnam,Deyang Shandong Chemical Co Ltd,38750.0
Vietnam,Cong Ty Tnhh Innovation Precision Viet Nam,38734.99371
Brazil,Goodrich Corp Customer Services Americas,38716.76
Vietnam,"Dongxing Ouxiang Import And Export Trade Co., Ltd.",38696.8
Vietnam,Guangxi Nanning Vision Mechanical Electrical Co Ltd,38527.33
Vietnam,Vivablast Thailand Co Ltd,38500.0
Vietnam,Bridgestone Tire Manufacturing Viet Nam Llc,38436.5403
Vietnam,Kun Shan Da Chuang Merchandise Trading Co Ltd,38434.5
United States,Linde Gas Chile S A,38407.0
Brazil,Ata Impex Pvt Ltd,38369.0
Malaysia,"Dalian Bingshan Engineering & Trading Co., Ltd.",38345.77
Brazil,Fca International Operations Llc,38329.05
Indonesia,Tongxiang Hongshi Trading Co Ltd,38273.02
Vietnam,Cong Ty Tnhh Hi-M Solutek Viet Nam,38253.14247
Vietnam,Hi-M Solutek Vietnam Co. Ltd.,38253.14247
Vietnam,Qingdao Pingdian Boiler Auxiliary Co Ltd,38118.0
Indonesia,Sichuan Xingzhijian Machinery Co Ltd,38113.4
Vietnam,Weifang Haiying Chemical Co Ltd,38000.0
Malaysia,Pacrim Investment International,37965.65
Indonesia,Kunshan Geng Xu International Trading Co.,37884.0
Vietnam,"Pingxiang Yuerong Trade Co., Ltd.",37836.0
Malaysia,Jiangsu Qiulin Special Energy Equipment Joint Stock Limited Co,37791.93
Qatar,Hamilton Sundstrand Csc (M) Sdn. Bhd.,37740.07
Malaysia,"Zhucheng Zhonggong Machinery Co., Ltd.",37675.91
Vietnam,Guangde Xiangyuan New Material Tech,37675.82
Vietnam,Yentec Co Ltd,37615.95744
Vietnam,Cryofortune Engineer Supply Co Ltd,37595.0
Nigeria,Gaslin Foreing Trade Company,37503.896
Nigeria,Sonmez Machine Automotive Electronics Industry Trade Ltd,37500.0
Vietnam,Risheng Import And Export Trade Co Ltd,37431.05
Philippines,Jiangsu Minnuo Group Co. Ltd,37171.9
Vietnam,Cong Ty Co Phan Ky Thuat Dau Khi Gt Viet Nam,37048.207259999996
Vietnam,Cong Ty Tnhh Ghs Vina,37035.44261
Vietnam,"Zhejiang New Vision Imp & Exp Co., Ltd.",37000.0
Nigeria,Yilteks Enerji Mikini Iml Ve Dis Tic Ltd Sti,36992.57
Philippines,Chart Cryogenic Engineering Systems (Changzhou) Co. Ltd.,36983.0
Vietnam,Guangzhou Riyu Mechanical Electronic Engineering Co Ltd,36969.9
Saudi Arabia,Cryogas Equipment Pvt. Ltd.,36771.31
Vietnam,Saifuer Gas Technology Jiangsu Co Ltd,36740.0
Malaysia,Ebp Engineering Services Pte Ltd,36508.26
United Arab Emirates,Mauria Udyog Ltd,36309.74
Vietnam,Regener International Ltd.,36256.11
Vietnam,Chantier Piriou,36120.820739999996
Vietnam,Atlas Copco Vietnam Co. Ltd.,36085.93614
Nigeria,Ceva Logistics Uae Llc,35973.128
Indonesia,Mitsubishi Electric Corporation,35846.020000000004
United Arab Emirates,Nihon Spindle Cooling Towers Sdn,35794.21
Vietnam,Cong Ty Tnhh Thiet Bi Co Dien Epsea Viet Nam,35786.3183
Vietnam,Epsea Electrical Equipment Co. Ltd.,35786.3183
Indonesia,Nortek Dcc,35745.07
Brazil,Triumph Motorcycles Limited,35707.04
Vietnam,Baoding Sunshine Machinery Imp Exp Co Ltd,35700.0
United Arab Emirates,Md Ic Ve Foreign Trade Joint Stock Company,35693.44
United States,Mehmet Ozen Machinery Industry And Trade Joint Stock Company,35075.0
Philippines,Precision Storage Vessels Pvt Ltd,35009.84
Malaysia,Orient Greenland International,35008.04
Uganda,United Gas Company Llc,34970.88
Vietnam,Seojin System Co. Ltd.,34923.83
Vietnam,"Zhongji Shengli (Fujian) Intelligent Technology Co., Ltd.",34918.0
Malaysia,Zhejiang Aoshuai Refrigeration Co. Ltd.,34703.79
Vietnam,Shenzhen Ocean Dragon Technology Co Ltd,34700.0
Vietnam,"Sei Electronic Components (Vietnam), Ltd.",34655.3715
Vietnam,Tomoe Vietnam Company Limited,34655.3715
Brazil,Saab Ab Aeronautics,34619.8
United Arab Emirates,Incryo Systems Pvt. Ltd.,34606.9
Indonesia,Bhl Asia Acme Sdn. Bhd.,34475.4
Indonesia,"Dalian Bingshan Engineering & Trading Co., Ltd.",34320.0
Vietnam,Hai Au International Joint Stock Company,34080.359339999995
Vietnam,Jiangsu Minsheng Heavy Industry Co Ltd,34020.0
Philippines,Shenzhen Junlai Supply Chain Co,33958.4
Indonesia,Jingjiang Coolbit Machinery Co Ltd,33826.87
Vietnam,Xingtai Jingpai Trading Co Ltd,33800.0
Vietnam,Wuxi Jinchen International Corp,33734.0
Indonesia,"Hubei Duoshengcai Trading Co., Ltd.",33500.0
Vietnam,Centec Joint Stock Company,33403.62617
Brazil,Spirax Sarco Srl,33401.85
Philippines,Jingmen Hongtu Special,33340.0
Brazil,Tetra Pak Packaging Solutions Ab,33334.08
Brazil,Poona Shims Private Limited,33311.49
Vietnam,Go - Higher Trading (Jiangsu) Co Ltd,33229.0
Vietnam,Dico Industrial Company Ltd,33214.28571
Vietnam,Cong Ty Tnhh Cong Nghiep Dicoso,33214.28571
Vietnam,Chuang Xing International Construction Co Ltd,33169.91122
Malaysia,Denso International Asia Pte Ltd 5,33115.68
Vietnam,Changya New Material Technology Co,33000.0
Brazil,Irizar S Coop,32937.24
Vietnam,Hai Phong Industry Gas Installation And Supply Company Limited,32884.09703
Indonesia,Nihon Spindle Cooling Towers Sdn,32853.8
Indonesia,Shanghai Baofeng Machinery Manufacturing Co Ltd,32800.0
Malaysia,Xiamen Intretech Inc,32769.36
Brazil,Dlab Scientific Co Ltd,32723.0
Philippines,Yangzhou Gao De Bao Gas Appliance Manufacture Co Ltd,32600.0
India,Ika Work Asia Sdn. Bhd.,32573.05
Vietnam,Cong Ty Tnhh Cung Cap Va Lap Dat Thiet Bi Khi Cong Nghiep Hai Phong,32537.54331
Vietnam,Pingxiang Hongyu Import Export Trading Co Ltd,32500.0
Philippines,Shandong Dl International Co Ltd,32347.0
Malaysia,Aprovis Energy Systems Gmbh,32302.38
Vietnam,Nihon Denkei Viet Nam Co. Ltd.,32200.0
Vietnam,Cns Electronic Materials Viet Nam Co. Ltd.,32000.0
Vietnam,"Zhongshan Weiqiang Technology Co., Ltd.",31939.27
Vietnam,Collab (Hk) Construction Ltd.,31862.7
Vietnam,Xianghe Zichen Auto Parts Co Ltd,31852.6
Vietnam,Cong Ty Co Phan Ky Thuong Csc,31536.38814
Vietnam,Csc Technical And Trade Joint Stock Company,31536.38814
Malaysia,Shandong Linrunfeng Int Trade Co Ltd,31512.82
Vietnam,Vinmed Industrial Equipment Material Equipment Joint Stock Company,31431.00708
Vietnam,"Guangxi Pingxiang Hengyi Trading Co., Ltd.",31381.0
Vietnam,Thriving Elite Int Ltd,31370.0
Vietnam,Cong Ty Tnhh Phat Trien Dau Tu Tm Xay Dung Cong Trinh Long Hung,31245.666666666668
Philippines,Ningbo Sintrue Medical Instruments Co Ltd,31222.0
United Arab Emirates,Yilteks Energy Heat Machinery Manufacturing Industry And Foreign Trade Limited Company,30900.0
Vietnam,Cong Ty Co Phan Co Khi Goodtech Thon Son Duxa Nguyen Khe,30837.1535
Vietnam,Integral Materials Investment Ltd.,30720.0
South Africa,Yilteks Energy Heat Machinery Manufacturing Industry And Foreign Trade Limited Company,30700.0
Vietnam,Hongkong Best Share Company Ltd.,30630.9947
Malaysia,B H Wordwide Sg Pte Ltd,30572.51
Malaysia,Jetstar Asia Airways Pte Ltd,30572.51
Malaysia,Essai Inc,30546.440000000002
Vietnam,Hengfu Business Ltd,30510.0
Malaysia,Hon Precision Inc,30389.9
South Sudan,Uangzhou Gloryman Import,30377.946
Brazil,Kunshan Foxtech Precision Component Co Ltd,30341.32
Vietnam,Vrv Asia Paciac Pvt. Ltd.,30100.0
Vietnam,Mountop Group Co. Ltd.,30065.0
Malaysia,Taylor Whorton Beijing Cryogenic,30064.89
Indonesia,Solar Turbines International,30037.31
Philippines,Guangzhou City Beileimo Trade Co Lt,30013.0
Vietnam,Zjmz Import And Export Co Ltd,30000.0
Vietnam,Daikin Fluorochemicals China Co Ltd Inabata Singapore Pte Ltd,30000.0
Malaysia,Isky Chemicals Co. Ltd.,29957.99
Qatar,Cryolor Asia Pacific Pvt. Ltd.,29940.0
Vietnam,Shenzhen Dali General Equipment Co Ltd,29923.0
Vietnam,Hong Quan Vietnam Commerce And Industry Ltd. Co.,29840.6368
Vietnam,Cong Ty Tnhh Thuc Nghiep Hong Quan Viet Nam,29823.66408
Indonesia,Ocean Cooling Tower Sdn. Bhd.,29758.08
Malaysia,Krr Engineering Pvt. Ltd.,29689.370000000003
Vietnam,"Guangxi Pingxiang Sheng Jia Import & Export Co., Ltd.",29660.1
Vietnam,Dongguan Fuzhi Trading Co Ltd,29640.0
Vietnam,"Dongguan Tongyi Plastic Machinery Manufacturing Co., Ltd.",29613.44
Vietnam,Cong Ty Tnhh Khi Cong Nghiep Messer Hai Phong Cn Yen Binh,29601.0
Malaysia,China Aircraft Service Ltd,29334.44
United States,Inoac Polytec De Mexico Sa De Cv,29188.72
Vietnam,Master Hero Manufacturing Co. Ltd.,29127.0
Vietnam,Nantong Sanshan Trading Co Ltd,29055.72
South Sudan,Ipt Offshore,29031.388
India,Beximco Pharmaceuticals Ltd.,29003.84
Vietnam,Pingxiang City Risheng Import & Export Trade Co Ltd,28802.98
Indonesia,Innio Waukesha Gas Engines Inc,28555.2
Brazil,Wuxi Jialong Heat Exchanger Manufacturing Company Ltd,28543.4
Vietnam,Taylor Warthon Malaysia Sdn Bhd,28470.0
Indonesia,Jiangsu Seagull Cooling Tower Co Ltd,28429.62
Vietnam,Briday Company Ltd.,28402.01252
Vietnam,Cong Ty Tnhh Xay Dung Hongloi,28402.01252
Vietnam,Goodtech Mechanical Joint Stock Company,28182.393500000002
Vietnam,Truong Van Muoi,28174.60316
Malaysia,Advantest Sg Pte Ltd,28154.02
Indonesia,Wuxi Sanjiu Cooling Equipment Co Ltd,28103.58
South Sudan,Pagarani General Trading Co,28053.819
Vietnam,Jiangsu Yayi Intelligent Equipment Co Ltd,28000.0
Indonesia,Hangzhou Shunfengyuan Technology Co Ltd,27856.56
Philippines,The Viking Corporation (Far East) Pte. Ltd.,27837.0
Vietnam,Nanjing Ocean Industry Co. Ltd.,27800.0
Philippines,Zjmz Import And Export Co Ltd,27701.1
Vietnam,Qingdao Fest International Trading Co Ltd,27656.75
Vietnam,Cong Ty Tnhh Fine Ms Vina,27551.84999
Kenya,Anema Trucks And Spare Parts,27524.47
Vietnam,"Nanning Gaoli Industrial And Trading Co., Ltd.",27363.85054
Vietnam,Chongqing Sunrise Trade Ltd.,27352.36
Indonesia,"Xiamen Sure Trading Co., Ltd.",27273.54
Vietnam,Shandong Rising International Trade Co Ltd,27246.0
Vietnam,Quang Minh Industrial Gas Trading Co. Ltd.,27189.12435
Vietnam,Cong Ty Tnhh Thuong Mai Khi Cong Nghiep Quang Minh,27189.12435
Indonesia,Velp Scientifica Srl,27091.33
Vietnam,Hunan High Goal Supply Chain Co Ltd,27005.0
Vietnam,Inno Air Co Ltd,27000.0
Vietnam,Mig Company Ltd.,27000.0
Philippines,Xinxiang Chengde Energy Technology Equipment Co Ltd,26944.0
Thailand,Lg Electronics Vietnam Hai Phong Coltd,26880.0
Philippines,Hangzhou Shanhai Supply Chain Co. Ltd,26800.899999999998
Malaysia,Dowell Schlumberger M Sdn Bhd,26772.34
Malaysia,Hefei Kefu Import And Export Trading Co Ltd,26704.07
Vietnam,Zamboo Industrial Ltd.,26700.200034
Saudi Arabia,Soylu Exhaust And Automotive Joint Stock Company,26693.75
Vietnam,Hong Kong Hailiang Metal Trading Ltd,26633.47
South Africa,Ergil Grup Construction Machinery Manufacturing Import Export Industry And Trade Ltd Co,26537.28
Vietnam,Cong Ty Tnhh Dau Tu & Che Tao Co Khi Ha Noi,26452.38094
Vietnam,Ha Noi Mechanical Investment Manufacturing Company Ltd,26452.38094
Philippines,Smart Gas Pte Ltd,26373.0
Philippines,Guangzhou Chuankong General,26241.2
Vietnam,Nihon Spindle Cooling Towers Sdn,26209.83
Vietnam,Cong Ty Co Phan Ky Thuat Dau Khi Gt,26184.05852
Nigeria,Maru Muhendislik Danismanlik Ithalat Ltd,26112.069
Kenya,Isisan Isi Sanayi Ve Tic As,26097.27
Nigeria,Maru Muhendislik Danismanlik Ihracat Ltd Sti,25980.165
Nigeria,Maru Muhendislik Danislik Ithalat Ihracat Ltd Sti,25920.226
Vietnam,Yancheng Longsheng Air Conditioning Equipment Co. Ltd.,25784.73
Vietnam,Guangxi Liexiangchaocheng Trade Co Ltd,25725.0
Nigeria,Greenville Liquefied Natural Gas Company Ltd,25690.296
Brazil,Funke Warmeaustauscher Apparatebau Gmbh,25664.15
Brazil,Ata Impex Pvt. Ltd.,25598.33
Vietnam,Trach Nhiem Huu Han Sopet Gas One Co Ltd,25523.92048
Indonesia,Shenzhen Yongchaofu Import And Export Trading Co Ltd,25518.809999999998
Brazil,Gallop Resources Pte Ltd,25513.0
Vietnam,Sinro Air Conditioning Fogang Co Ltd,25370.0
Vietnam,Dongguan Huaji Trading Co Ltd,25357.0698
Vietnam,Guangdong Xufeng Zhihui Jianshe Fazhan Co. Ltd.,25266.0
Vietnam,Hefei Cement Research And Design Institute Corp,25188.0
Vietnam,Kg International,25179.0
Malaysia,Shaanxi Superior Import Export Co,25132.97
Vietnam,"Guangzhou Hongxue Refrigeration Equipment Co., Ltd.",25050.0
Vietnam,Supero Seiki Global Vn Company Limited,25031.6
Vietnam,Viet Nam Electronic Material Company Ltd.,25000.0
Indonesia,Bac Dalian Co. Ltd,25000.0
Philippines,Linyi Yongquan Import Export,24976.0
India,Global Products Industries Singapore Pte Ltd,24950.0
Malaysia,Thermatron Engineering,24881.34
Vietnam,Jiangsu Tafu International Trade Co Ltd,24828.86
United States,Soylu Exhaust And Automotive Joint Stock Company,24800.0
Vietnam,Dong Guan Carno Machinery Co. Ltd.,24660.0
Vietnam,Long Chien Company Ltd.,24584.63856
Vietnam,Cong Ty Tnhh Mot Thanh Vien Long Chien,24584.63856
Indonesia,Hks Co. Ltd.,24516.2
Vietnam,Grand Intercontinental (Asia) Group Ltd.,24500.0
Vietnam,Zhejiang Jindun Pressure Vessel Co Ltd,24400.0
Vietnam,Yong Heng (Vietnam) Building Construction Co. Ltd.,24372.916666666668
Vietnam,Kunshan Fujix Electronic Co,24253.4
Vietnam,Mve Biologigal Solutions Us Llc,24139.84
Vietnam,Changzhou Grand Textile Co Ltd,24127.71
South Africa,Martin Engineering Machine Industry And Trade Ltd,24047.64
Uganda,Zjmz Import And Export Co Ltd,24023.95
Brazil,Cummins Asia Pacific Pte Ltd,24004.47
Vietnam,Jinko Solar Vietnam Industries Company Limited,24000.0
Indonesia,Elite Solar Technology (Viet Nam) Company Ltd.,23987.0
Vietnam,Ocean Cooling Tower Sdn Bhd,23839.79
Vietnam,Thermo Fisher Scientific,23700.0
Vietnam,Suzhou Dayer Mechatronic Hi- Tech Co.,23652.84
Vietnam,Cocreation International Trade Co Ltd,23596.0
Vietnam,Silver Network Printing Technology Co. Ltd.,23581.533333333333
Vietnam,Smc Corporation,23557.3502
Nigeria,Yilteks Enerji,23370.31
Saudi Arabia,Fabtech Technologies Limited,23347.74
Malaysia,Pro Flex Packaging Zhongshan Ltd,23301.33
Vietnam,Dongguan Huaji Environmental Protection Equipment,23300.0
Vietnam,Kaiping City Wilson Tading Co Ltd,23200.0
Vietnam,Xinxiang Aokai Cylinder Co Ltd,23040.0
Vietnam,Cong Ty Tnhh Yu Chen,23002.894
Vietnam,Yu Chen Co. Ltd.,23002.894
United States,Aoc Mexico Sa De,23000.0
Vietnam,Sotek Construction Corporation,22964.62802
Vietnam,Cong Ty Co Phan Xay Dung Sotek,22964.62802
Indonesia,Air Products And Chemicals Shanghai Co. Ltd.,22935.44
Vietnam,Hunan Jhcrc Cleanroom System Co Ltd,22925.78
Malaysia,Advantest Sales And Support M S B,22872.22
Philippines,Hebei Runfeng Low Temperature Equip,22859.4
Brazil,Shanghai Yinchang Co Ltd,22812.0
Vietnam,Dongguan Tongyi Plastic Machinery Manufacturing Co Ltd,22804.379999999997
Vietnam,"Shandong Yongan Heli Cylinder Co., Ltd.",22800.0
Vietnam,Hongkong Best Share Company Limited,22750.2
Vietnam,Mariso Viet Nam Co. Ltd.,22750.0
Malaysia,Shenzhen Idea Import Export Trade Co Ltd,22659.48
Vietnam,Guangzhou Tianshunyi Trade Co Ltd,22623.0772
Vietnam,Dongguan Huahe Trading Co Ltd,22548.31223
Vietnam,Qingdao Shunzexi Trading Co Ltd,22545.0
Indonesia,Taizhou Eternal Hydraulic Machine Co Ltd,22520.0
Indonesia,Qingdao Topolar New Material Co Ltd,22393.63
India,Tuv Sud Rail Gmbh,22366.08
Malaysia,Guangzhou Tiege Trading Co Ltd,22295.75
Vietnam,"Shenzhen Newin Machinery Co., Ltd.",22295.0
Indonesia,Spx Cooling Technologies Sdn Bhd,22265.17
Vietnam,Shandong Yongan Heli Cylinder Co Ltd,22227.92
Vietnam,Guangxi Pingxiang Huadong Imp And Exp Trade Co Ltd,22220.0
Vietnam,Guangxi Pingxiang Shengxing Imp Exp Trade Co Ltd,22172.0
Brazil,Alfa Laval Technologies Ab,22156.58
Malaysia,Smc Corporation (Singapore) Pte. Ltd.,22104.16
Vietnam,Cong Ty Tnhh Dau Tu Va Phat Trien Dau Khi Nam Viet,22078.35964
Vietnam,Moon Environment Technology Co Ltd,22045.0
Vietnam,Nam Viet Petrol Development And Investment Company Limited,21948.402
Vietnam,Global Hitech Solution Vina Company Limited,21948.402
Vietnam,Sigma Engineering Joint Stock Company,21918.46803
Vietnam,Asia Clean Energy Sdn Bhd,21900.0
Malaysia,Shen Zhen Wei Bo Mechanical And Electrical Ltd,21884.65
Vietnam,Bridgestone Tire Manufacturing Vietnam Llc Limited Liability Company,21851.313990000002
Malaysia,Toyo Adtec Co Ltd,21822.73
Vietnam,Cong Ty Tnhh May Moc Thiet Bi Aofuke Viet Nam,21789.8962
Malaysia,Superyacht Supplies Ltd,21776.12
Vietnam,Sao Viet Chemical Corporation,21690.70133
Vietnam,Cong Ty Co Phan Hoa Chat Sao Viet,21690.70133
Vietnam,Maritime & Industrial Service,21626.98412
Vietnam,Cong Ty Co. Phan Dich Vu Cong Nghiep Hang Hai,21626.98412
Saudi Arabia,Truwater Cooling Towers Sdn Bhd,21551.94
Nigeria,Sino Howo Truck Co Ltd,21550.902
Malaysia,Mega Alliance Gases Viet Nam Co. Ltd.,21532.95
Vietnam,Nanjing Chope International Engineering Co Ltd,21505.0
Vietnam,Wuerth Industry Company Limited,21450.0
Nigeria,Merit Resources Hongkong Limited,21291.647
Brazil,Wuxi Zhongbo Heat Exchanger Co Ltd,21232.0
Indonesia,E.J. Bowman (Bham) Ltd.,21228.99
Brazil,Zhongshan Artmoon Household,21154.11
Vietnam,Via Mechanics Vietnam Co. Ltd.,21135.57012
Vietnam,Sam Gas Projects (P) Ltd.,21100.0
Vietnam,Chuang Xing International Construction Company Limited,21085.51346
India,T G Automotive Ltd,21073.489999999998
Philippines,Guangzhou Chuankong,21063.0
Brazil,Innio Jenbacher Gmbh Co Og,21054.440000000002
Vietnam,Halliburton International Gmbh,21000.0
Vietnam,Moon Enviroment Technology Co Ltd,20966.0
Vietnam,Vinhthinh Industrial Equipment Co. Ltd.,20958.63143
Vietnam,Cong Ty Tnhh Thuong Mai Va Dich Vu Sinh Thinh,20909.12695
Vietnam,Sinh Thinh Trade And Service Co. Ltd.,20884.25392
Malaysia,Zhaoqing Leoch Battery Technology,20638.22
Vietnam,Ha Long Industrial Gas Co Ltd,20611.12233
Indonesia,Shenzhen Sureasy Technology Co Ltd,20548.95
Vietnam,Jinhua Hehui Intelligent Technology Co. Ltd,20525.0
Kenya,Tedsan Machinery Engineering Contracting Industry And Trade Ltd,20500.0
Vietnam,Go Higher Trading Jiangsu Co Ltd,20484.0
Vietnam,Manvia Steam Water Equipment S.L.,20463.58398
Vietnam,B K K Cooling And Engineering Co. Ltd.,20460.0
Nigeria,Henan Jianshen Metal Metenrial Co L,20420.195
Vietnam,Takaishi Industry Co. Ltd.,20400.0
Vietnam,Unika Vie Pan Co. Ltd.,20400.0
Vietnam,Bach Ho Commercial Petroleum Service One Member Liability Company,20341.80576
Vietnam,Cong Ty Tnhh Mot Thanh Vien Thuong Mai Dich Vu,20341.80576
Vietnam,Cong Ty Co Phan Thuong Mai Ky Nghe Viet Nhat,20270.03966
Vietnam,Viet Nhat Industry Trading Joint Stock Company,20270.03966
Vietnam,Khi Cong Nghiep Ha Long Cong Ty Tnhh,20239.84485
Vietnam,Ha Long Industrial Gas Co. Ltd,20239.84485
Malaysia,Air Products Malaysia Sdn Bhd,20184.61
Malaysia,Amkor Technology Malaysia Sdn. Bhd.,20170.54
Indonesia,Wuxi Easytrade Supply Chain Service,20130.0
Vietnam,Zamboo Industrial Limited,20123.160252
Oman,Guven Bombe And Pressure Vessels Joint Stock Company,20085.0
Indonesia,Penguin Shipyard International Pte Ltd,20080.2
Vietnam,Inox India Limited,20014.66
Vietnam,Cong Ty Tnhh Vietnergy,20000.0
Vietnam,Vietnergy Co. Ltd.,20000.0
Vietnam,Tien Anh Import Export Company Ltd,20000.0
United States,Praxair Panama Sa,20000.0
Vietnam,Mega Alliance Gases Vietnam Co. Ltd.,20000.0
Malaysia,Mat-Gas Trading,20000.0
Vietnam,South Basic Chemicals Joint Stock Company,19960.0
Vietnam,Cong Ty Tnhh Zhongheng Viet Nam Manufacturing Limited Liability Company,19929.0
Malaysia,Taylor Wharton Beijing Cryogenic,19777.96
Malaysia,Benda Tool Model Works A B Die,19738.4
Brazil,Danfoss A/S,19722.81
Vietnam,"Ta Shin F.R.P. Co., Ltd.",19712.1
Qatar,Global Gases Malaysia Sdn Bhd,19711.93
Malaysia,Pro Flex Packaging Zhong Shan Ltd,19684.35
Uganda,Oxymat As,19582.2
India,Connexxions Llc,19564.06
Brazil,Krenz & Company Inc,19548.98
Vietnam,Shandong Ceylon Supply Chain Management Co Ltd,19366.0
Vietnam,"Guangxi Jinchen Im & Exp, Trade Co. Ltd.",19300.0
Brazil,Yazaki Corporation,19283.989999999998
Brazil,Krenz E Company Inc,19232.83
Vietnam,Yangzhou Giant Machinery Co Ltd,19200.0
India,Spectra Oxygen Ltd.,19175.32
Philippines,Shaoxing Kwanmin Fire Fighting Equi,19168.0
Brazil,Ford Sales Service Co Ltd,19127.239999999998
Vietnam,"Xiamen Zhonghai Xing Import & Export Trade Co., Ltd.",19100.0
Indonesia,Xiamen Wandefu Information Techology Co Ltd,19080.47
Malaysia,Shanghai King Sun Cooling Equipment Co Ltd,19044.62
Malaysia,Huasheng Industrial Co Ltd,18968.56
Vietnam,Jiangsu China Electronics Advanced Technology Development Co. Ltd,18934.0
Vietnam,Cong Ty Cp Nippon Sanso Viet Nam,18912.62135
Vietnam,Cong Ty Co Phan Xay Dung Va Dau Tu Visicons,18908.4476342525
Vietnam,Aofuke Vietnam Machinery Equipment Co. Ltd.,18771.74753
Brazil,Mersen Usa Ep Corp,18759.0
Malaysia,Ningbo Forward Relay Corp Ltd,18758.42
Malaysia,Qingdao Lofto Machinery Tech Co Ltd,18717.19
United Arab Emirates,Ergil Grup Construction Machinery Manufacturing Import Export Industry And Trade Ltd Co,18690.0
Vietnam,Cong Ty Tnhh Lap Dat Co,18650.11817
Vietnam,"Jiangsu Meixinting International Trade Co., Ltd.",18650.0
Brazil,Aquatech Srl Societa Unipersonale,18592.0
Vietnam,Nanjing Ocean Medical Products Co Ltd,18591.0
Vietnam,Viet Anh Industrial Gas Company Ltd,18468.25905
Brazil,Allison Transmission Kft,18419.379999999997
Vietnam,Misuzu Machinery Co. Ltd.,18400.0
Vietnam,Fukushima Galilei Vietnam Co. Ltd.,18305.5
Indonesia,Dhp Engineering Co. Ltd.,18300.0
United States,Ard Viet Nam Company Ltd.,18200.0
India,Lotte Chemical Titan (M) Sdn. Bhd.,18165.74
Nigeria,Dsd Foreign Trade Inc,18000.0
Vietnam,Orient International Holding Shanghai Textiles Import & Export Co. Ltd.,18000.0
Vietnam,Shaanxi Sinochem Lantian New Chemical Material Co Ltd,17940.0
Vietnam,Topstar Worldwide Group Ltd.,17936.71
