origin_country,value_norm_usd
China,252883393.55583656
Vietnam,152819629.45675704
India,74896353.50613889
Malaysia,57023619.14028667
United States,42960048.04306
Mexico,15729903.11
Turkey,14860386.567569999
United Kingdom,6997840.5225100005
Japan,6729927.585277
Singapore,5029809.10506
Germany,4945970.16496
Spain,4788864.76688
France,4765567.74145
South Korea,4572135.021924928
Italy,4504540.30305
