dest_country,value_norm_usd
Vietnam,283042415.81562704
Malaysia,86505183.32
Brazil,74428546.93
Indonesia,65562379.68
United States,61957015.87197785
Kenya,19468637.12
Nigeria,18333737.858
Qatar,17164255.726166278
Philippines,11775279.15
India,11403561.54
United Arab Emirates,9123813.282
Saudi Arabia,5745938.71959152
Uganda,3395870.666
Ghana,2863941.88
South Africa,2412496.180478407
