dest_country,shipper,value_usd
Vietnam,Hong Yuan Vietnam Electric Equipment Co. Ltd.,8763.47025
Philippines,Yantai Gaea Rock Split Machinery,8735.5
Philippines,Precision Storage Vessels Private,8713.3
Vietnam,Draegerwerk Ag And Co Kgaa,8670.73952
Vietnam,Tianjin Lin Jiang Fuhai Trade Co Ltd,8655.02
Malaysia,Winn Appliance,8614.3
Philippines,Linyi Lishan Mechanical Group Co Ltd,8612.6
Philippines,Mecfie Engineering Sdn Bhd,8600.0
Vietnam,Reflex Winkelmann Gmbh,8573.21326
Vietnam,Cong Ty Tnhh Thuong Mai Khi Cong Nghiep Viet Anh,8564.97085
Namibia,Frozen Busra Bilgic,8550.0
Vietnam,Vestas Wind Systems,8388.39
Vietnam,G Tech Optoelectronics Corporation,8376.36
Vietnam,Yujin Fluid Viet Nam Co. Ltd.,8316.67332
Vietnam,Cong Ty Tnhh Yujin Fluid Viet Nam,8308.23226
Philippines,Guangzhou Yuanjun Imp And Exp Co Lt,8298.1
Vietnam,Kunshan Rezota Co. Ltd.,8219.0
Vietnam,Ztt Integrated Service Supply Chain Management Co Ltd,8195.21
Philippines,Smc Corporation Australia Pt,8178.7
Uganda,Atlas Copco Airpower N.V.,8174.610000000001
Vietnam,Cong Ty Tnhh Cong Nghiep Swan Viet Nam,8120.75169
Vietnam,Swan Industry Vietnam Co. Ltd.,8120.75169
Oman,Yakut Kazan Machinery Manufacturing And Engineering Industry Import Internal Trade Ltd. Co.,8107.67
Vietnam,Hop Luc Electromechanica Joint Stock Company,8085.10636
United Arab Emirates,Bharat Tanks And Vessels Llp,8078.81
Vietnam,Bao An Technique Service Joint Stock Company,8064.53421
Uganda,Sinopec Petroluem Engineering & Construction Jiangsu Corporation,8039.0
United Arab Emirates,Mbm Automation Robotics,8027.36
Vietnam,"Dalian Creditchem Semiconductor Materials Co., Ltd.",8000.0
Vietnam,Seoul Semiconductor Vina Co. Ltd.,8000.0
Vietnam,Air Products Singapore Industrial Gases Pte Ltd,8000.0
Vietnam,Trong Viet Hung Joint Stock Company,7987.08632
Vietnam,Ntp Group Company Limited,7871.56
Vietnam,Xiamen East Asia Machinery Industr,7853.0
Vietnam,Cong Ty Co Phan Dich Vu Ky Thuat Bao An,7850.44712
Vietnam,Sheng Huei Engineering Technology Company Limited,7773.20388
Vietnam,Hangzhou Zhikeer International Trade Co Ltd,7759.0267
Saudi Arabia,Summits Hygronics P Ltd F 739 Goldwins Avanashi Rd Coimbatore 641 014 India Tel Fax,7716.36
Vietnam,Zibo Pubang Air Compressorsales And Service Co Ltd Limited,7654.0
Vietnam,Nuoyuan Dong Li Co. Ltd.,7589.61902
Philippines,Shaoxing Kwanmin Fire Fighting,7585.4
Vietnam,Cocreation International Trade,7530.0
Vietnam,Cty Tnhh Atlas Copco Vietnam,7495.55985
Nigeria,Qingdao Ruiming Blue Sky Energy Co,7461.858
Philippines,Guangzhou Yuanjun Imp Exp Co Ltd Co Ltd,7446.8
Malaysia,Transocean Metal Products Sdn. Bhd.,7432.4400000000005
Ghana,Goitom Chedlu Yosief,7412.483
Vietnam,Vietnam Deousi System Engineering Co. Ltd.,7341.89522
Vietnam,Compkoreavina Co. Ltd.,7340.88245
Vietnam,Cong Ty Tnhh Com Korea Vina,7340.88245
Vietnam,"Xiamen King Long International Trading Co., Ltd.",7340.724
Vietnam,L K Engineering Vietnam Co Ltd,7271.40428
Vietnam,Cong Ty Tnhh Cong Trinh L & K Viet Nam Cong Ty Tnhh,7271.40428
Vietnam,Shanghai Zhong Anyue Trading Co Ltd,7200.0
Vietnam,Wuxi Xuelang Environmental Technology Co Ltd,7200.0
Uganda,Huludao Jidechang Trading Co. Ltd.,7136.04
Vietnam,Fluid Transfer International Ltd,7115.2871
Vietnam,Sph China Ltd,7097.25
Vietnam,Yantai Dadi Carbon Dioxide Blasting Machinery Equipment Co Ltd,7000.0
Uganda,Shanghai Lucky Import And Export Co Ltd,7000.0
Vietnam,Wuxi Autowell Supply Chain Management Co Ltd,7000.0
Vietnam,Cong Ty Tnhh Cong Nghiep Fu Sheng,6965.05191
United States,Southern Petroleum Construction J S,6950.0
Philippines,Tai Shan Gases Co Ltd,6934.6
Nigeria,Wessington Cryogenics Ltd,6869.122
Vietnam,Zhejiang Yongyu Home Furnishings Co,6864.68154
Vietnam,Cong Ty Co. Phan Giai Phap Cong Nghe Va Truyen Thong Victory Vietnam,6852.72083
Vietnam,"Guangxi Zhongqiao Import And Export Trade Co., Ltd.",6818.0
India,Kongsberg Maritime As,6789.13
Vietnam,Cong Ty Tnhh Cong Nghiep Lua Viet,6764.44079
Malaysia,Uniqs Gmbh,6643.97
Vietnam,Emdees Import Export Pte Ltd,6600.459999999999
Malaysia,Maschinen Und Behaelterbau Gmbh,6600.15
Vietnam,Tkg Taekwang Co Ltd,6579.28
Philippines,Shaoxing Kwanmin Fire Fighting Equipment Co Ltd,6550.0
Vietnam,Guang Dong Foster Fluid Technology Co. Ltd.,6509.24
Vietnam,Damen Shipyards Gorinchem,6503.02832
Philippines,Tai Shan Gases Co. Ltd.,6500.0
Vietnam,Thermax Ltd,6500.0
Philippines,Omega Air D O O Ljubjana,6411.83
Vietnam,Cong Ty Tnhh Thuong Mai Xuat Nhap Khau Viet Trung Khai Son,6318.53383
Uganda,Guven Bombe And Pressure Vessels Joint Stock Company,6300.0
Nigeria,Paras Project Ventures India Pvt Ltd,6289.93
Vietnam,"Dongguan Jinxinjie Intelligent Automation Technology Co., Ltd.",6250.0
Vietnam,Viet A Services And Industrial Equipment Co. Ltd.,6214.6523
Malaysia,Gas Technique & Machinery Co. Ltd.,6178.6
Vietnam,"Qingyuan Keding Electrical Equipment Co., Ltd.",6172.84
Vietnam,Viet Nam Van Vinh Co. Ltd.,6150.79365
Vietnam,Cong Ty Tnhh Van Vinh Viet Nam,6146.15964
Vietnam,Dien Tu Lac Son Co. Ltd.,6090.0
Malaysia,Linde Gas Singapore Pte Ltd,6080.31
Vietnam,Damen Shipyards Gorinchem B.V.,6039.07019
Vietnam,Turbo Srl,6012.399
Vietnam,Kunshan Miaoyuanli Ma Electionic Co Ltd,6000.0
Vietnam,Shanghai Kuangfu Industry Co Ltd,6000.0
Vietnam,Shandong Gamma Gas Engineering Co Ltd,6000.0
Ghana,Ayse Eda Kapakcioglu,5987.835
Nigeria,Sa Ibecor Nv International Beverages Corporation C,5972.897
Philippines,Imarketkorea Inc Or,5956.1
Vietnam,Honghui System Integration Technology (Jiangsu) Co. Ltd,5939.98
Vietnam,Chongqing Sunrise Trade Ltd,5933.33
Vietnam,"Kunshan Palust Industrial Equipment Co., Ltd.",5926.0
Vietnam,Cong Ty Tnhh Thiet Bi Cong Nghiep Na Bi,5918.76204
Vietnam,Jiangsu Tafu International Trade Co Ltd,5915.379999999999
Vietnam,Jiangmen Bochuan International Trade Co Ltd,5862.16
Vietnam,Kunshan Miao Yuanyanli Ma - Electionic Co,5840.0
Vietnam,"Shanghai Yuni Bothwin Industry And Trade Co., Limited",5833.18
Philippines,Modern Global Limited,5825.6
Vietnam,Shenzhen Anxin Trading Co. Ltd.,5800.0
Vietnam,Hong Ru Vietnam Technical Co. Ltd.,5779.88164
Vietnam,Cong Ty Tnhh Ky Thuat Hong Ru Viet Nam,5779.88164
Vietnam,Cong Ty Tnhh Mot Thanh Vien Co Khi & Xay Lap Mt&C,5766.32229
Vietnam,Qingdao Sinoesco Energy Technology Co Ltd,5725.2
Vietnam,Asia Pacific Gas Enterprise Company Ltd,5704.0
Vietnam,Rollman Machinery Tech Co. Ltd.,5700.0
Nigeria,Total,5654.869
Vietnam,Ngoc Ha Trading And Service Joint Stock Company,5627.6865
Philippines,Ateliers Francois Sa,5620.6
Vietnam,Changzhou Longyue Trading Co. Ltd,5620.0
Vietnam,Regener International Ltd,5600.99
Vietnam,Cong Ty Tnhh May Moc Chinh Xac Hanbell Bac Ninh,5593.84855
Nigeria,B. S. Engineering Machinery Pvt. Ltd.,5588.8
India,Hangzhou Kec Fire Chemicals Co Ltd,5588.8
Vietnam,Nagoya Vietnam Industry Co Ltd,5550.63828
South Sudan,Park Guangzhou City Yulong Foreignt,5528.32
Nigeria,Elgi Equipment Ltd.,5505.02
India,Imv Technologies,5476.05
Philippines,Shandong Yongan Heli Cylinder Co Lt,5449.6
Ghana,Crisa Middle East,5448.024
Vietnam,Shanghai Mugong Industrial Co Ltd,5442.0
Vietnam,Cong Ty Tnhh Co Dien Hanzhong,5424.36277
Malaysia,Mastercool Inc,5414.76
United States,Cornelius Manufacturing De Mexico S A De C V,5391.13
Vietnam,Cong Ty Tnhh Nuoyuan Dong Li,5371.88156
Vietnam,Taizhou Snowy Imp Exp Co Ltd,5364.0
Vietnam,"Jiangsu Lichang International Trade Co., Ltd.",5354.0
Vietnam,Go - Higher Trading (Jiangsu) Co Ltd,5353.0
Vietnam,Cong Ty Co Phan Dau Tu Xay Dung Va Cong Nghe Viet Nhat,5318.2033
Vietnam,Mechanical Technology Co Ltd,5301.77514
Vietnam,Cong Ty Tnhh Co Khi Ky Thuat,5301.77514
Vietnam,Guang Xi Rong Jin Im Export Trade Ltd Co,5254.74666
Philippines,Cangzhou Tommy International Tradi,5254.200000000001
Nigeria,Anema Trucks,5224.887
Vietnam,Fukunishi Electrical Co Ltd,5223.5022
United Arab Emirates,St Soguk Technic Inc And Foreign Trade,5200.0
Vietnam,Raybo Trading Co. Ltd.,5200.0
Vietnam,Cong Ty Tnhh Thuong Mai Dich Vu Hop Phong,5176.40137
Vietnam,Cong Ty Tnhh Dich Vu Thiet Bi Co Dien Rongshun Viet Nam,5166.72204
Vietnam,Chongqing Senci Import & Export Trade Co. Ltd.,5155.0864
Kenya,Anhui Heli Indultrial Vegicle Imp Exp Co Ltd,5145.48
Vietnam,Xinhang Hk International Trading Limited,5100.0
Vietnam,Cong Ty Tnhh Organo Viet Nam,5092.40474
Vietnam,Cong Ty Co Phan Ky Thuat Viet Son,5090.41186
Vietnam,Sumisaujana Tcm Chemicals Sdn Bhd,5089.3
Vietnam,Anjiexin Technology Co Ltd,5076.26157
Vietnam,Cong Ty Tnhh Cong Nghe Anjiexin,5076.26157
Vietnam,Cong Ty Tnhh Sp&G Vina,5061.15706
Vietnam,Sp&G Vina Company Ltd.,5061.15706
India,Renata Ltd.,5046.14
Philippines,Shandong Yongan Heli Cylinderco L,5016.1
Vietnam,Cong Ty Tnhh Xay Dung Quoc Te Chuang Xing,5007.05158
United States,Deacero S A P I De C V,5000.0
Vietnam,Joint Stock Company Tehmetall 2002,5000.0
Vietnam,Mt&C Mechanical & Construction Company Ltd.,4998.00078
United Arab Emirates,Kaghan Chemicals Co.,4995.73
Vietnam,Nuo Yuan Co Ltd,4984.21253
United States,Aceti Oxigeno S A,4965.4
Vietnam,"Qingdao Newstar Trading Co., Ltd.",4960.0
Ghana,Akici Trade Freight Lojistik Ithalat Ihracat Ticaret Limited Sirketi,4954.983
Vietnam,Huada Electromechanical Equipment Co Ltd,4954.60144
Vietnam,Cong Ty Tnhh Thuong Mai Xuat Nhap Khau Quang Duc,4933.45402
South Africa,Centre Side Express Sdn Bhd,4932.09
Vietnam,Cong Ty Tnhh Ky Thuat Va Dich Vu Sao Viet,4912.55109
Vietnam,Sao Viet Services And Technical Co. Ltd.,4912.55109
Vietnam,Cong Ty Tnhh Atlas Copco Viet Nam,4905.02224
Vietnam,Rmkh Glove Cambodia Co Ltd,4900.0
Vietnam,Organo Viet Nam Co. Ltd.,4847.9303500000005
Vietnam,Viet Nhat Industry Trading Joint Stock Company,4846.26984
Vietnam,Cong Ty Co Phan Thuong Mai Ky Nghe Viet Nhat,4846.26984
Philippines,Imarketkorea Inc,4845.44
Vietnam,Guangxi He Run Fa Im-Export Trade Ltd. Co.,4828.21744
Philippines,Koinjaya Co Ltd,4819.68
Philippines,Ningbo Yilin Int L Trading,4804.3
Vietnam,Ganzhou Ruike Energy Saving Technology Co Ltd,4800.0
Vietnam,Resonac Specialty Gas Singapore Pte Ltd,4800.0
Malaysia,Asia Technical Gas Co Pte Ltd,4788.87
Vietnam,Investcorp Group Joint Stock Company,4774.022199999999
Vietnam,G&J Electric Co. Ltd,4773.54496
Philippines,Mascot Engineering Construction Sdn Bhd,4753.0
United States,Gunderson Concarril S.A. De C.V.,4750.0
Vietnam,"Shaoxing Tonta Machinery Technology Co., Ltd.",4740.0
Ghana,Anema Trucks And Spare Parts,4706.869000000001
Nigeria,Svanosio Company Limited,4691.404
Vietnam,Global Hitech Solution Vina Company Ltd.,4642.16634
Vietnam,Zhejiang Jinhao Refrigeration Equipment Co Ltd,4641.150000000001
Vietnam,Global Hitech Solution Vina Company Limited,4620.71621
Vietnam,"Nanjing Wonfulay Precision Machinery Co., Ltd.",4620.0
United States,Valvtechnologies Pvt Ltd,4616.75
India,Doosan Bobcate North America,4601.1900000000005
Vietnam,Centec Joint Stock Company,4596.20482
Vietnam,Cong Ty Tnhh Thuong Mai Cong Nghe Nang Luong Marshell Viet Nam,4571.85
Vietnam,Marshell Energy Trading Technology (Vietnam) Company Ltd.,4571.85
Vietnam,Billion Max International Development Ltd.,4571.16
Vietnam,Saitama University,4570.37148
Vietnam,Dongguan Zhenbensi Filter Co Ltd,4570.0
Vietnam,Cong Ty Tnhh Thuong Mai Dich Vu Xuat Nhap Khau Jaguar,4526.83326
Vietnam,Wuxi Jiazeshun Imp Exp Co Ltd,4460.0
Philippines,Smc Corporation Singapore P T,4422.1
Vietnam,Cong Ty Tnhh San Xuat Thuong Mai Tan Quoc Dung,4397.57597
Uganda,Yiwu Laicai Trading Co Ltd,4393.56
Vietnam,Ningbo Jietai Building Materials Co Ltd,4370.23
Vietnam,Cong Ty Tnhh Mtv Nguyen Vu Corp,4366.98556
Vietnam,Nguyen Vu Corp One Member Llc,4366.98556
Vietnam,Nakagawa Chemical Equipment Vietnam Co. Ltd.,4332.68858
Vietnam,Cong Ty Tnhh Thiet Bi Hoa Chat Nakagawa Viet Nam,4332.68858
Vietnam,Clean Energy Technology Services Trading Co. Ltd.,4332.22878
Vietnam,Cong Ty Tnhh Thuong Mai Dich Vu Ky Thuat Nang Luong Sach,4332.22878
Kenya,Govina Metfab Opc Private Limited,4330.799999999999
Vietnam,Pingxiang Dacheng Trading Co Ltd,4320.0
Kenya,Dalgakiran Kompresor San Ve Tic Ltd Sti,4300.46
Vietnam,Haier Biomedical Hk Co Limited,4295.0
Nigeria,Camara Exim Ltd,4289.713
Vietnam,Cong Ty Tnhh Pna Viet Nam,4247.1178
Nigeria,Lancer Shanghai Intl Trading Co Ltd,4244.849
Vietnam,"Sumec International Technology Co., Ltd.",4242.0
Vietnam,Festo Pte. Ltd.,4227.13254
Vietnam,Chuang Xing International Construction Company Ltd.,4213.40079
Philippines,Nanjing Hengda Compressor Co Ltd,4210.0
Vietnam,P R T C Cambodia Co Ltd,4200.0
Vietnam,Ngoc Ha Trading And Service,4179.6256
Vietnam,Hanzhong Mechanical And Electrical Company Ltd,4163.52747
Vietnam,Viet Panel Construction Co. Ltd.,4160.33585
India,Flowserve Fluid Motion And Control Suzhou Co Lt,4134.78
Vietnam,Cong Ty Tnhh Xay Dung Viet Panel,4128.96824
Nigeria,As Agent Only,4105.504
Kenya,Hyster Europe,4094.5
Vietnam,Sk Leaveo Co Ltd,4093.29469
Vietnam,Cong Ty Co Phan Noi Thuong Bac,4088.95222
Vietnam,Cong Ty Tnhh Atlas Copco Vietnam,4043.12668
Vietnam,Fei Er Sheng Vietnam Trading Company Limited,4041.4169
Uganda,Wilmar Plantations Sdn Bhd 50250 Kuala Lumper Kua,4024.0
Vietnam,Cong Ty Tnhh Thuong Mai Fei Er Sheng Viet Nam,4021.88406
Philippines,Guangdong Xinghuoyunto Trading Co,4000.0
Vietnam,Shaoxing Tonta Machinery Technology Co Ltd,3990.0
Malaysia,Guangzhou Headway I E Trading Co Ltd,3984.61
Vietnam,Pna Viet Nam Co. Ltd.,3973.2013699999998
Malaysia,Md Ic Ve Foreign Trade Joint Stock Company,3951.14
Vietnam,Foshan Tengqi Electromechanical Equipment Co Ltd,3940.0
Vietnam,Cong Ty Tnhh Nuo Yuan,3927.60877
Vietnam,Pt. Loesche Indonesia,3910.63985
Vietnam,Damen Shipyards Gorinchem Bv,3908.48722
United States,Ingenieria Y Electrosistemas S.A. De C.V.,3900.0
Vietnam,City Vietnam Development Co. Ltd.,3865.67746
Vietnam,Cong Ty Tnhh Phat Trien Thanh Nam Viet Nam,3865.67746
Vietnam,Shanghai Mucong Industrial Co Ltd,3814.0
Vietnam,Hefei Lcfc Electronics Trading Co. Ltd,3804.0
Vietnam,Messer Llc,3802.35
Vietnam,Buccma Accumulator Tianjin Co Ltd,3800.0
Vietnam,Heesung Electronics Gz Co Ltd,3800.0
Vietnam,Cong Ty Co Phan Thuong Mai Va Dich Vu Doi Canh Viet,3767.30137
Vietnam,Temas Engineering Joint Stock Co.,3756.18494
Vietnam,Cong Ty Co. Phan Ky Thuat Temas,3756.18494
Vietnam,Guangxi Rong Jin Im Export Trade Ltd Co,3751.34304
Vietnam,"Dongxing City Liyuan Trade Co., Ltd.",3743.73221
Vietnam,Texon Co. Ltd.,3738.0
Vietnam,Atc Vina Trading & Service Co. Ltd.,3727.98032
Kenya,Brimax Canvas And Leather,3723.34
Kenya,Naz Intl Motors,3719.69
Kenya,W International Co Ltd,3706.25
Vietnam,Cong Ty Tnhh Thuong Mai Va Xay Dung Hung Phat,3700.38684
Vietnam,"Zhejiang Sike Maohua Cold Chain Technology Co., Ltd.",3667.0
Vietnam,Cong Ty Tnhh Thuong Mai & Dich Vu Atc Vina,3638.54458
Malaysia,Sinochem Lantian Trading Co Ltd,3619.96
Kenya,Guangzhou Lifei International Trade Co Ltd,3608.17
Vietnam,Trina Solar Energy Development Development Company Ltd,3600.0
Vietnam,Phuc Luan Hai Industrial Equipment Co. Ltd.,3569.5450600000004
Vietnam,Cong Ty Tnhh Thiet Bi Cong Nghiep Phuc Luan Hai,3569.54506
Malaysia,Hangzhou Pri Safety Fire Tec Co,3561.6
Vietnam,Viet Son Technology Joint Stock Company Co.,3560.57986
Vietnam,Dongxing City Liyuan Trade Co Ltd,3556.81266
Vietnam,Antek Trade And Technology Co. Ltd.,3546.58332
Vietnam,Cong Ty Tnhh Thuong Mai Va Ky Thuat Antek,3546.58332
Vietnam,Kunming Lvtian Electromechanical Equipment Co. Ltd.,3537.06598
Kenya,Elgi Equipment Ltd.,3536.87
Vietnam,Nissey (Cambodia) Co. Ltd.,3528.26
Kenya,Tvh Parts N V,3503.33
Vietnam,Ot Motor Vina Co. Ltd.,3500.0
Malaysia,Air Products Singapore Industrial,3485.91
Vietnam,Hermes Viet Nam Machinery Company,3481.62462
Vietnam,Quang Duc Import Export Trading Co. Ltd.,3471.46102
Vietnam,Kin Electronics Vietnam Company Limited,3416.33375
Kenya,Wenzhou Joneng Valves Co Ltd,3408.18
Vietnam,"Shandong Yuanle Import & Export Co., Ltd.",3400.0
Vietnam,Vietnam Welding Co Ltd,3392.5049099999997
Vietnam,Cong Ty Tnhh Han Viet Quang,3388.49486
Malaysia,Ase Electronics (M) Sdn. Bhd.,3380.52
Vietnam,Viet Son Technology Joint Stock Company,3340.21045
Philippines,Dongguan Yunbai Commercial And Trade,3334.7
Malaysia,Hysan Technology China Inc,3326.41
Vietnam,Zhejiang Xinyi Trade Co. Ltd,3325.72
Vietnam,Cong Ty Tnhh May Moc Thiet Bi Ke Lai Si Viet Nam,3310.96902
Vietnam,Pentax S P A Viale Deltindustria 37040 Veronella Verona Italy,3308.7225
Vietnam,Syc Cylinders Europe Sa,3288.7629
India,Dbl Pharmaceuticals Ltd,3279.99
India,Doosan Bobcat North America,3271.9
Malaysia,Nolek Ab,3270.97
India,Snf Sa,3254.83
Vietnam,Guangdong Xunyuan Construction Investment Co Ltd,3245.0
Vietnam,Makoto Sangyo Vietnam Company Limited,3238.35194
Vietnam,Cong Ty Trach Nhiem Huu Han Thien Phuc Dong Nai,3234.50134
Uganda,Aaru Internationalindia,3228.0
Vietnam,Thiet Bi Tan Tien Sumiden Viet Nam Dncx Cong Ty Tnhh,3200.0
Vietnam,Ningbo Gemwin Import And Export Co Ltd,3200.0
Vietnam,Sumiden Device Innovations Vietnam Co. Ltd.,3200.0
Malaysia,Airflux Malaysia Sdn. Bhd.,3162.09
Nigeria,Euro Lpg V,3157.625
Uganda,Ateliers Francois Sa Belgium,3156.52
Philippines,Ningbo Greetmed Medical Instruments Co Ltd,3136.0
Vietnam,Le Kien One Member Company Ltd.,3094.77756
Vietnam,Feng Jiang (Vietnam) Electro Mechanical Construction Co. Ltd.,3088.6498
Vietnam,Dong Anh Pressure Equipment Joint Stock Company,3086.1239100000003
Vietnam,Cong Ty Co. Phan Thiet Bi Ap Luc Dong Anh,3086.1239100000003
Vietnam,Ban Mai Engineering And Trading Company Limited,3069.31074
Vietnam,Cong Ty Tnhh Ky Thuat Va Thuong Mai Ban Mai,3069.31074
Vietnam,"Guangxi Dongxing Ruili Machinery Parts Import And Export Co., Ltd.",3042.0
Vietnam,Suzhou Leno Air Compressor Co Ltd,3040.0
Saudi Arabia,Sf Yildiz Machine Automotive Industry And Trade Ltd,3030.0
Vietnam,Cong Ty Tnhh Thiet Bi Cong Nghiep Vinh Thinh,3012.0761899999998
Vietnam,Caterpillar S A R L Singapore Branch,3005.257318
Vietnam,Cong Ty Tnhh Dien Tu Meiko Thang Long Co. Ltd.,3000.0
Vietnam,Mcga Company Limited,3000.0
Vietnam,Meiko Electronics Thang Long Co Ltd,3000.0
Vietnam,Vietnam Terminal Exception Joint Stock Company,3000.0
Vietnam,Cong Ty Tnhh Dien Tu Meiko Thang Long,3000.0
Philippines,Cangzhou Tommy International Trading Co Ltd,3000.0
Vietnam,Cong Ty Tnhh Kobelco Compressors Vietnam,2988.06314
Nigeria,China-Base Ningbo Foreign Trade Co. Ltd.,2985.893
Vietnam,Hua Feng Group Inc,2980.0
Vietnam,Cong Ty Tnhh Khi Cong Nghiep Messer Hai Phong,2973.5481
United Arab Emirates,Sri Venkateshwara Engineering,2971.66
Vietnam,Guangxi Pingxiang Shengxing Imp. & Exp. Trade Co. Ltd.,2966.0
India,Qingdao Hai'Er Biomedical,2951.56
South Africa,Urt Engineering Pressure Vessels Machinery Industry Trade Joint Stock Company,2951.49
Vietnam,Zhejiang Beehive Trading Co,2931.8
Vietnam,Anc Technology And Engineering Company Limited,2927.68577
Vietnam,Cong Ty Tnhh Ky Thuat Va Cong Nghe Anc,2927.68577
Vietnam,Guangzhou Aeomachine Equipment Co Ltd,2927.0
India,Manchester Tank & Equip Co.,2926.8999999999996
United Arab Emirates,Ozak Sinai Ve Tibbi Gaslar Industry And Trade Ltd,2921.0
Vietnam,Cong Ty Tnhh Thiet Bi Cong Nghiep Va Dich Vu Momizi,2916.2490500000004
Vietnam,Hong Kong Highsun Optoelectronic Co. Ltd.,2900.0
India,Tronox France Sas,2894.2
Vietnam,Nsn Construction And Engineering Joint Stock Company,2874.23166
Malaysia,Xinyi Internationaltrading Wuhu Co,2865.01
Malaysia,Jinan Sitrak Import Export Co Ltd,2858.39
Vietnam,Cong Ty Tnhh Xay Lap Va Thiet Bi Cong Nghiep Hanbell Sky,2854.99028
Vietnam,Noi Thuong Bac Joint Stock Company,2851.04122
Vietnam,Hermes Vietnam Machinery Co Ltd,2850.2038199999997
Vietnam,Vo Dai Trade Co Ltd,2850.0
Vietnam,Dongguan Guangqing Trading Co Ltd,2838.0
Vietnam,"Hangzhou Weibang Hydropower Engineering Co., Ltd.",2800.0
Vietnam,Resonac Specialty Gas Singapore Pte.,2800.0
Vietnam,Fujita Corporation Vietnam,2795.50827
Vietnam,Cong Ty Tnhh Fujita Viet Nam,2795.50827
Vietnam,S-Star Viet Nam Co. Ltd.,2786.9903
Vietnam,Cong Ty Tnhh Nuoyuan,2785.2998
Vietnam,Cong Ty Tnhh Sstar Viet Nam,2784.79876
Vietnam,Cong Ty Tnhh Thuong Mai Dich Vu Xuat Nhap Khau Gia Kiet Cong Ty Tnhh,2777.5220799999997
Vietnam,Han You Technology Engineering Joint Stock Company,2776.7065
Vietnam,Tp Inc,2774.07
Malaysia,Stone Inorganic Co Ltd,2758.82
Vietnam,Misumi Corporation,2756.6169200000004
Philippines,Dongguan Yunbai Commercial And Trading Co Ltd,2749.2000000000003
Vietnam,Viet Nam Air Industry Joint Stock Company,2746.13213
Vietnam,Suntra Global Co Ltd,2736.0
Vietnam,Hai Phong Petrolimex Gas Co. Ltd.,2726.9383
Vietnam,"Pingxiang City Yujie Import & Export Trade Co., Ltd.",2714.2857
Vietnam,Cong Ty Tnhh Gas Petrolimex Hai Phong,2713.93945
India,Micavac Ag,2712.84
Vietnam,Southern Refrigeration Engineering Co. Ltd.,2710.0
Vietnam,Shenzhen Jinbao Electromechanical Equipment Co Ltd,2704.0
Vietnam,Big Fish Maldives Pvt. Ltd.,2670.0
Vietnam,"Seize International Trading (Shanghai) Co., Ltd.",2658.0
Vietnam,"Guangxi Bangyou Trade Co., Ltd.",2637.7200000000003
Vietnam,Smc Corp,2636.58199
Vietnam,Changzhou Fairdale Metal Tools Co Ltd,2633.9992
Malaysia,Sri Ranganathar Industries Pvt Ltd,2600.68
Vietnam,Cgn New Energy Integrated Energy Services Shenzhen Co. Ltd.,2600.0
Malaysia,Proline Pte Ltd,2599.64
Vietnam,Chi Nhanh Cong Ty Co Phan Thuong Mai Va Dich Vu Ngoc Ha Tai Hai Phong,2578.40815
Vietnam,Gaim Regiomontana S A De C V,2571.29
Vietnam,Sinopharm Jiangsu Co. Ltd.,2560.0
Vietnam,Viet Industry Group Joint Stock Company,2535.78336
Vietnam,Cong Ty Co Phan Tap Doan Cong Nghiep Viet Phong,2535.78336
Philippines,Vectro Global Pte Ltd,2520.4
Vietnam,Cong Ty Tnhh Tae Seong Equipment Vina,2511.90474
Vietnam,Tae Seong Equipment Vina Co. Ltd.,2511.90474
Vietnam,Yiwu Xinsheng Import And Export Co Ltd,2510.0
Ghana,Foshan Grand Shine Supply Chain Co Ltd,2505.006
Vietnam,Gas Corporation,2500.0
Vietnam,Kansai Vina Production And Construction,2499.30606
Vietnam,Cong Ty Co Phan Xay Dung Va San Xuat Kansai Vina So 21 Louis Viii Kdt,2499.30606
Vietnam,Jianxing Vietnam Construction Development Co. Ltd.,2498.11648
Vietnam,Cong Ty Tnhh Phat Trien Xay Dung Viet Nam Kien Hung,2498.11648
Ghana,Shanghai Unicorn Medical Technology Co Ltd,2496.503
Vietnam,Casetek Singapore Pte Ltd,2492.7
Vietnam,Cong Ty Tnhh Tb Cn Va Dv Viet A,2491.21436
Vietnam,Danieli Co. Ltd.,2464.46
Vietnam,Cong Ty Tnhh Che Tao Thong Minh Jc,2464.3816
Vietnam,"Guangxi Pingxiang Limanying Import & Export Trade Co., Ltd.",2450.0
Vietnam,Xiamen King Long International Trading Co Ltd,2446.908
Nigeria,Amro Investments Pvt. Ltd.,2442.54
Vietnam,Rongshun (Viet Nam) Mechatronics Machinery Services Co. Ltd.,2432.12527
Vietnam,"Jinan Alton Auto Parts Co., Ltd.",2431.0
Vietnam,Guangzhou Smartcot Co. Ltd,2417.28
Vietnam,Cong Ty Tnhh May Moc Hermes Viet Nam,2416.04427
Vietnam,Dong Guan City Shuangxi Import And Export Co Ltd,2413.89
Vietnam,Bitzer Kuhlm Maschinenbau (Pty) Ltd,2405.38324
Vietnam,Energroup Llc,2403.5
Vietnam,Cong Ty Tnhh Cong Trinh Dien May Tengfei,2398.55748
Vietnam,Kunshan Lemon Import & Export Trade Co. Ltd.,2394.94
Vietnam,Shanghai Geso Systems Industrial Plc,2384.0
Philippines,Shanghai Droy Safety Technology,2382.8
