dest_country,shipper,value_usd
Vietnam,Nantong Cimc Energy Equipment Co Ltd,358000.0
Vietnam,Astro Tech Co. Ltd.,358000.0
Malaysia,Deleum Oilfield Services Sdn Bhd,354654.85
United States,Inox India Limited,349866.25
Nigeria,Advanced Gases Ltd,345231.528
Vietnam,Cong Ty Co. Phan Dgc,339998.48636000004
Malaysia,Texas Instruments Malaysia Sdn Bhd,334794.93
Vietnam,Tai Shan Gases Co. Ltd.,323220.0
Vietnam,"Pingxiang New Hope Foreign Trade Co., Ltd.",320403.00771
Nigeria,Yilteks Energy Heat Machinery Manufacturing Industry And Foreign Trade Limited Company,320180.0
Philippines,Hainan Yongan Trade Co Ltd,319894.3
Oman,Inox India Pvt. Ltd.,319871.82
Nigeria,Houpu Clean Energy Co Ltd,317315.856
Vietnam,Inox India Pvt. Ltd.,315835.47
Malaysia,Suzhou Alton Electrical Mechanical Industry Co Ltd,314498.1
Vietnam,Cong Ty Tnhh Tomoe Vietnam,312983.03173
Vietnam,Hd Hyundai Mipo Co Ltd,307842.7291
Vietnam,Air Liquide Thailand Ltd.,305700.0
Vietnam,Danieli C Officine Meccaniche S P A,304888.7394
Vietnam,Cong Ty Tnhh Super Gas,300696.67
Vietnam,Nippon Sanso Vietnam Joint Stock Co.,300457.90341
Nigeria,Hongyang Group Co Ltd,289462.162
Malaysia,Air Liquide Global E C Solutions,286287.33
Vietnam,Zhongheng Vietnam Manufacturing Co. Ltd.,284143.0393
South Africa,Md Ic Ve Foreign Trade Joint Stock Company,279696.02999999997
Vietnam,Chart Cryogenic Engineering Systems (Changzhou) Co. Ltd.,278140.0
Vietnam,Air Liquide Vietnam Co. Ltd.,277596.8
Kenya,Yilteks Energy Heat Machinery Manufacturing Industry And Foreign Trade Limited Company,273420.0
Malaysia,Chart Cryogenic Engineering Systems (Changzhou) Co. Ltd.,271338.21
Vietnam,Tomoe Vietnam Co. Ltd.,270120.48654
Vietnam,Huayuan Trading Ltd.,270000.0
Vietnam,Air Liquide Business Service Sdn Bhd,269596.8
Vietnam,Mve Biological Solutions Us Llc New Prague Mn 56071 Us,267545.988
United Arab Emirates,Llp Caley Energy,263878.0
Vietnam,Astro Tech Co. Ltd,262000.0
United States,Inds Gutierrez S A C V,261981.71000000002
Nigeria,Karbonsan Dry Ice And Pressure Vessels Industry Trade Joint Stock Company,260567.94
United Arab Emirates,Krison Engineering Works,259948.0
Malaysia,Nxp Malaysia Sdn. Bhd.,257556.32
Vietnam,Taylor-Wharton (Beijing) Cryogenic Equipment Co. Ltd,256000.0
United States,Compabia Arizlu S.A. De C.V.,254587.62
Vietnam,Shanghai Lifen Gas,252617.4613
Philippines,Hubei Daly Lpg Cylinder Manufacture Co Ltd,239851.5
Kenya,Socar Shipping Agency S A R L,237122.16999999998
Canada,Taylor Wharton Malaysia Sdn Bhd,231895.3
Vietnam,Huayuan Trading Ltd,230000.0
Nigeria,Jingmen Hongtu Special,228180.166
Philippines,Nohmi Bosai Ltd International Division,227671.3
United Arab Emirates,Cryogas Equipment Pvt. Ltd.,226104.78
Philippines,Sicgil India Ltd.,225150.0
Thailand,Dorado Resources Corporation,225000.0
Ghana,Ltp Solutions Pty Ltd,224662.92600000004
Vietnam,Jade Beauty Trading Investment Co Ltd,221500.0
Vietnam,Mega Alliance Gases Sdn Bhd,220000.0
United Arab Emirates,Inox India Pvt. Ltd.,219261.06
Malaysia,Air Product Malaysia Sdn Bhd,214870.98
Vietnam,Cong Ty Tnhh Khi Cong Nghiep Messer Binh Phuoc,214700.60274
Malaysia,Mexicali Directo Al Cliente S De Rl De Cv,213000.0
Nigeria,Lions Makine Muhendislik Limited Sirketi,212548.20500000002
Vietnam,Shenzhen Pengyu Electromechanical Environmental Protection Equipment,211346.0
Vietnam,Fortune Bright Co. Ltd.,210576.0
Vietnam,Vi Na Industrial Gases Trading & Service Co. Ltd.,209500.0
Vietnam,Hebei Runfeng Low Temperature Equipment Co Ltd,207052.0
Thailand,Tomoe Malaysia Sdn. Bhd.,200993.95
Philippines,Hangzhou Yuhang Zhangshan Steel Cylinder Co Ltd,199807.0
Vietnam,Vinata International Co. Ltd,199555.0656
Vietnam,Cong Ty Tnhh Quoc Te Vinata Chi Nhanh,199555.0656
Vietnam,Brothers Gas Bottling & Distribution Co. Llc,199000.0
Nigeria,Services Machinery And Trucks Maurice Ltd,198915.037
Vietnam,Lg Electronics Wroclaw,197803.08
Vietnam,Sungbo Engineering Co Ltd,197356.3374
Vietnam,"Zhangjiaga Cimc Sanctum Cryogenic Equipment Co., Ltd",196141.54
Vietnam,Air Products Singapore Industrial Gases Pte. Ltd.,194300.0
Vietnam,Cong Ty Tnhh Thuong Mai Va Dich Vu Long Men,193922.43102
Vietnam,Long Men Co. Ltd.,193922.43102
Vietnam,Nippon Sanso Vietnam Joint Stock Company,190522.20069
Vietnam,"Qingdao Ruiming Blue Sky Energy Co., Ltd.",190499.9992
United States,Praxair Mexico S De Rl De Cv,188932.61
Vietnam,Sun Royal Ltd.,188500.0
Nigeria,Inox India Limited,187907.74
India,Industrias Gutierrez S.A. De C.V.,186235.84
Philippines,Bj Services M Sdn Bhd,184808.05
Malaysia,Amkor Technology Malaysia Sdn Bhd,183413.92
Nigeria,Solid Makina San Ve Dis Tic Ltd Sti,179858.093
Canada,Sin Razon Social,178800.0
Vietnam,Guangxi Qinghai Chemical Co Ltd,177064.0
