dest_country,HSN 7311 – Tanks/Cylinders,HSN 8419 – Vaporizers & Heat-exchange
Kenya,19468637.12,0.0
Qatar,1216782.3761662762,15947473.35
United Arab Emirates,5083001.502,4040811.7800000003
Saudi Arabia,5543517.489591519,202421.23
Uganda,3395870.666,0.0
Ghana,2863941.88,0.0
Oman,715064.49,0.0
South Sudan,290161.13,0.0
Senegal,215116.86,0.0
Namibia,172849.34,0.0
